timestamp,gtr,gtr-norm,merit-nt,bgp,ping-slash24,datetime,DATETIME,LABEL
1692530400,,0.8906629625087549,4.2,2919,594.0,2023-08-20 11:20:00+00:00,2023-08-20 11:20:00+00:00,0
1692530700,,0.8906629625087549,5.8,2919,594.0,2023-08-20 11:25:00+00:00,2023-08-20 11:25:00+00:00,0
1692531000,4958487708.0,0.8857825677836191,4.8,2919,595.0,2023-08-20 11:30:00+00:00,2023-08-20 11:30:00+00:00,0
1692531300,,0.8857825677836191,5.4,2918,595.0,2023-08-20 11:35:00+00:00,2023-08-20 11:35:00+00:00,0
1692531600,,0.8857825677836191,6.8,2918,588.0,2023-08-20 11:40:00+00:00,2023-08-20 11:40:00+00:00,0
1692531900,,0.8857825677836191,5.4,2918,588.0,2023-08-20 11:45:00+00:00,2023-08-20 11:45:00+00:00,0
1692532200,,0.8857825677836191,5.8,2918,601.0,2023-08-20 11:50:00+00:00,2023-08-20 11:50:00+00:00,0
1692532500,,0.8857825677836191,6.4,2918,601.0,2023-08-20 11:55:00+00:00,2023-08-20 11:55:00+00:00,0
1692532800,4778633125.0,0.8714042878773448,5.0,2918,595.0,2023-08-20 12:00:00+00:00,2023-08-20 12:00:00+00:00,0
1692533100,,0.8714042878773448,5.8,2918,595.0,2023-08-20 12:05:00+00:00,2023-08-20 12:05:00+00:00,0
1692533400,,0.8714042878773448,5.8,2917,604.0,2023-08-20 12:10:00+00:00,2023-08-20 12:10:00+00:00,0
1692533700,,0.8714042878773448,4.8,2918,604.0,2023-08-20 12:15:00+00:00,2023-08-20 12:15:00+00:00,0
1692534000,,0.8714042878773448,5.8,2912,606.0,2023-08-20 12:20:00+00:00,2023-08-20 12:20:00+00:00,0
1692534300,,0.8714042878773448,5.0,2918,606.0,2023-08-20 12:25:00+00:00,2023-08-20 12:25:00+00:00,0
1692534600,4630480625.0,0.8463856368694799,4.0,2918,591.0,2023-08-20 12:30:00+00:00,2023-08-20 12:30:00+00:00,0
1692534900,,0.8463856368694799,3.8,2918,591.0,2023-08-20 12:35:00+00:00,2023-08-20 12:35:00+00:00,0
1692535200,,0.8463856368694799,5.2,2918,595.0,2023-08-20 12:40:00+00:00,2023-08-20 12:40:00+00:00,0
1692535500,,0.8463856368694799,6.6,2918,595.0,2023-08-20 12:45:00+00:00,2023-08-20 12:45:00+00:00,0
1692535800,,0.8463856368694799,4.8,2918,583.0,2023-08-20 12:50:00+00:00,2023-08-20 12:50:00+00:00,0
1692536100,,0.8463856368694799,3.6,2918,583.0,2023-08-20 12:55:00+00:00,2023-08-20 12:55:00+00:00,0
1692536400,4391359062.0,0.8248575023272872,3.4,2918,585.0,2023-08-20 13:00:00+00:00,2023-08-20 13:00:00+00:00,0
1692536700,,0.8248575023272872,4.8,2918,585.0,2023-08-20 13:05:00+00:00,2023-08-20 13:05:00+00:00,0
1692537000,,0.8248575023272872,3.8,2918,601.0,2023-08-20 13:10:00+00:00,2023-08-20 13:10:00+00:00,0
1692537300,,0.8248575023272872,5.0,2918,601.0,2023-08-20 13:15:00+00:00,2023-08-20 13:15:00+00:00,0
1692537600,,0.8248575023272872,5.2,2918,602.0,2023-08-20 13:20:00+00:00,2023-08-20 13:20:00+00:00,0
1692537900,,0.8248575023272872,4.4,2918,602.0,2023-08-20 13:25:00+00:00,2023-08-20 13:25:00+00:00,0
1692538200,4043480208.0,0.7775750170492706,3.6,2918,604.0,2023-08-20 13:30:00+00:00,2023-08-20 13:30:00+00:00,0
1692538500,,0.7775750170492706,4.4,2918,604.0,2023-08-20 13:35:00+00:00,2023-08-20 13:35:00+00:00,0
1692538800,,0.7775750170492706,5.2,2918,602.0,2023-08-20 13:40:00+00:00,2023-08-20 13:40:00+00:00,0
1692539100,,0.7775750170492706,4.2,2917,602.0,2023-08-20 13:45:00+00:00,2023-08-20 13:45:00+00:00,0
1692539400,,0.7775750170492706,5.2,2918,600.0,2023-08-20 13:50:00+00:00,2023-08-20 13:50:00+00:00,0
1692539700,,0.7775750170492706,5.4,2918,600.0,2023-08-20 13:55:00+00:00,2023-08-20 13:55:00+00:00,0
1692540000,3843929791.0,0.7545876622647391,4.8,2916,584.0,2023-08-20 14:00:00+00:00,2023-08-20 14:00:00+00:00,0
1692540300,,0.7545876622647391,5.4,2918,584.0,2023-08-20 14:05:00+00:00,2023-08-20 14:05:00+00:00,0
1692540600,,0.7545876622647391,3.2,2918,593.0,2023-08-20 14:10:00+00:00,2023-08-20 14:10:00+00:00,0
