timestamp,merit-nt,bgp,ping-slash24,datetime,DATETIME,LABEL
1647903300,0.8,670,380.0,2022-03-21 22:55:00+00:00,2022-03-21 22:55:00+00:00,0
1647903600,0.8,670,381.0,2022-03-21 23:00:00+00:00,2022-03-21 23:00:00+00:00,0
1647903900,0.6,670,381.0,2022-03-21 23:05:00+00:00,2022-03-21 23:05:00+00:00,0
1647904200,0.2,670,375.0,2022-03-21 23:10:00+00:00,2022-03-21 23:10:00+00:00,0
1647904500,0.6,670,375.0,2022-03-21 23:15:00+00:00,2022-03-21 23:15:00+00:00,0
1647904800,0.2,670,383.0,2022-03-21 23:20:00+00:00,2022-03-21 23:20:00+00:00,0
1647905100,0.8,670,383.0,2022-03-21 23:25:00+00:00,2022-03-21 23:25:00+00:00,0
1647905400,0.2,670,395.0,2022-03-21 23:30:00+00:00,2022-03-21 23:30:00+00:00,0
1647905700,1.2,670,395.0,2022-03-21 23:35:00+00:00,2022-03-21 23:35:00+00:00,0
1647906000,1.4,670,376.0,2022-03-21 23:40:00+00:00,2022-03-21 23:40:00+00:00,0
1647906300,0.6,670,376.0,2022-03-21 23:45:00+00:00,2022-03-21 23:45:00+00:00,0
1647906600,0.4,670,380.0,2022-03-21 23:50:00+00:00,2022-03-21 23:50:00+00:00,0
1647906900,0.4,670,380.0,2022-03-21 23:55:00+00:00,2022-03-21 23:55:00+00:00,0
1647907200,0.75,670,376.0,2022-03-22 00:00:00+00:00,2022-03-22 00:00:00+00:00,0
1647907500,0.2,670,376.0,2022-03-22 00:05:00+00:00,2022-03-22 00:05:00+00:00,0
1647907800,0.4,670,385.0,2022-03-22 00:10:00+00:00,2022-03-22 00:10:00+00:00,0
1647908100,0.4,670,385.0,2022-03-22 00:15:00+00:00,2022-03-22 00:15:00+00:00,0
1647908400,0.6,670,383.0,2022-03-22 00:20:00+00:00,2022-03-22 00:20:00+00:00,0
1647908700,0.4,670,383.0,2022-03-22 00:25:00+00:00,2022-03-22 00:25:00+00:00,0
1647909000,0.2,670,391.0,2022-03-22 00:30:00+00:00,2022-03-22 00:30:00+00:00,0
1647909300,1.0,670,391.0,2022-03-22 00:35:00+00:00,2022-03-22 00:35:00+00:00,0
1647909600,0.2,670,380.0,2022-03-22 00:40:00+00:00,2022-03-22 00:40:00+00:00,0
1647909900,1.0,670,380.0,2022-03-22 00:45:00+00:00,2022-03-22 00:45:00+00:00,0
1647910200,1.2,670,364.0,2022-03-22 00:50:00+00:00,2022-03-22 00:50:00+00:00,0
1647910500,0.4,670,364.0,2022-03-22 00:55:00+00:00,2022-03-22 00:55:00+00:00,0
1647910800,0.5,670,377.0,2022-03-22 01:00:00+00:00,2022-03-22 01:00:00+00:00,0
1647911100,0.8,670,377.0,2022-03-22 01:05:00+00:00,2022-03-22 01:05:00+00:00,0
1647911400,0.6,670,371.0,2022-03-22 01:10:00+00:00,2022-03-22 01:10:00+00:00,0
1647911700,0.4,670,371.0,2022-03-22 01:15:00+00:00,2022-03-22 01:15:00+00:00,0
1647912000,1.0,670,368.0,2022-03-22 01:20:00+00:00,2022-03-22 01:20:00+00:00,0
1647912300,1.2,670,368.0,2022-03-22 01:25:00+00:00,2022-03-22 01:25:00+00:00,0
1647912600,0.4,670,371.0,2022-03-22 01:30:00+00:00,2022-03-22 01:30:00+00:00,0
1647912900,0.8,670,371.0,2022-03-22 01:35:00+00:00,2022-03-22 01:35:00+00:00,0
1647913200,0.8,670,375.0,2022-03-22 01:40:00+00:00,2022-03-22 01:40:00+00:00,0
1647913500,1.2,670,375.0,2022-03-22 01:45:00+00:00,2022-03-22 01:45:00+00:00,0
1647913800,0.4,670,370.0,2022-03-22 01:50:00+00:00,2022-03-22 01:50:00+00:00,0
1647914100,0.4,670,370.0,2022-03-22 01:55:00+00:00,2022-03-22 01:55:00+00:00,0
1647914400,0.6,670,379.0,2022-03-22 02:00:00+00:00,2022-03-22 02:00:00+00:00,0
1647914700,0.8,670,379.0,2022-03-22 02:05:00+00:00,2022-03-22 02:05:00+00:00,0
1647915000,1.2,670,384.0,2022-03-22 02:10:00+00:00,2022-03-22 02:10:00+00:00,0
1647915300,0.8,670,384.0,2022-03-22 02:15:00+00:00,2022-03-22 02:15:00+00:00,0
1647915600,0.6,670,392.0,2022-03-22 02:20:00+00:00,2022-03-22 02:20:00+00:00,0
1647915900,1.4,670,392.0,2022-03-22 02:25:00+00:00,2022-03-22 02:25:00+00:00,0
1647916200,1.6,670,395.0,2022-03-22 02:30:00+00:00,2022-03-22 02:30:00+00:00,0
1647916500,1.0,670,395.0,2022-03-22 02:35:00+00:00,2022-03-22 02:35:00+00:00,0
1647916800,1.0,670,382.0,2022-03-22 02:40:00+00:00,2022-03-22 02:40:00+00:00,0
1647917100,1.2,670,382.0,2022-03-22 02:45:00+00:00,2022-03-22 02:45:00+00:00,0
1647917400,1.2,670,382.0,2022-03-22 02:50:00+00:00,2022-03-22 02:50:00+00:00,0
1647917700,1.4,670,382.0,2022-03-22 02:55:00+00:00,2022-03-22 02:55:00+00:00,0
1647918000,1.0,670,383.0,2022-03-22 03:00:00+00:00,2022-03-22 03:00:00+00:00,0
1647918300,1.0,670,383.0,2022-03-22 03:05:00+00:00,2022-03-22 03:05:00+00:00,0
1647918600,1.8,670,389.0,2022-03-22 03:10:00+00:00,2022-03-22 03:10:00+00:00,0
1647918900,2.0,670,389.0,2022-03-22 03:15:00+00:00,2022-03-22 03:15:00+00:00,0
1647919200,1.0,670,384.0,2022-03-22 03:20:00+00:00,2022-03-22 03:20:00+00:00,0
1647919500,1.4,670,384.0,2022-03-22 03:25:00+00:00,2022-03-22 03:25:00+00:00,0
1647919800,1.4,670,385.0,2022-03-22 03:30:00+00:00,2022-03-22 03:30:00+00:00,0
1647920100,1.4,670,385.0,2022-03-22 03:35:00+00:00,2022-03-22 03:35:00+00:00,0
1647920400,1.4,670,378.0,2022-03-22 03:40:00+00:00,2022-03-22 03:40:00+00:00,0
1647920700,0.6,670,378.0,2022-03-22 03:45:00+00:00,2022-03-22 03:45:00+00:00,0
1647921000,1.0,670,372.0,2022-03-22 03:50:00+00:00,2022-03-22 03:50:00+00:00,0
1647921300,2.2,670,372.0,2022-03-22 03:55:00+00:00,2022-03-22 03:55:00+00:00,0
1647921600,1.4,670,372.0,2022-03-22 04:00:00+00:00,2022-03-22 04:00:00+00:00,0
1647921900,1.8,670,372.0,2022-03-22 04:05:00+00:00,2022-03-22 04:05:00+00:00,0
1647922200,2.0,670,376.0,2022-03-22 04:10:00+00:00,2022-03-22 04:10:00+00:00,0
1647922500,1.4,670,376.0,2022-03-22 04:15:00+00:00,2022-03-22 04:15:00+00:00,0
